Year,No.,Round,Pick,Player,Name,Team,College
2023,1,1,8,8,Bijan Robinson,Falcons,Texas
NA,2,1,12,12,Jahmyr Gibbs,Lions,Alabama
NA,3,2,21,52,Zach Charbonnet,Seahawks,UCLA
NA,4,3,8,71,Kendre Miller,Saints,Texas Christian
NA,5,3,18,81,Tyjae Spears,Titans,Tulane
NA,6,3,21,84,Devon Achane,Dolphins,Texas A&M
NA,7,3,25,88,Tank Bigsby,Jaguars,Auburn
NA,8,4,13,115,Roschon Johnson,Bears,Texas
NA,9,5,8,143,Israel Abanikanda,Jets,Pittsburgh
NA,10,5,28,163,Chase Brown,Bengals,Illinois
NA,11,5,37,172,Eric Gray,Giants,Oklahoma
NA,12,5,41,176,Evan Hull,Colts,Northwestern
NA,13,6,16,193,Chris Rodriguez,Commanders,Kentucky
NA,14,6,35,212,Deuce Vaughn,Cowboys,Kansas State
NA,15,6,38,215,Zach Evans,Rams,Mississippi
NA,16,7,5,222,DeWayne McBride,Vikings,Alabama-Birmingham
NA,17,7,18,235,Lew Nichols,Packers,Central Michigan
NA,18,7,20,237,Kenny McIntosh,Seahawks,Georgia
2022,1,2,4,36,Breece Hall,Jets,Iowa State
NA,2,2,9,41,Kenneth Walker,Seahawks,Michigan State
NA,3,2,31,63,James Cook,Bills,Georgia
NA,4,3,27,91,Rachaad White,Buccaneers,Arizona State
NA,5,3,29,93,Tyrion Davis-Price,49ers,Louisiana State
NA,6,3,34,98,Brian Robinson,Commanders,Alabama
NA,7,4,2,107,Dameon Pierce,Texans,Florida
NA,8,4,17,122,Zamir White,Raiders,Georgia
NA,9,4,18,123,Isaiah Spiller,Chargers,Texas A&M
NA,10,4,22,127,Pierre Strong,Patriots,South Dakota State
NA,11,4,26,131,Hassan Haskins,Titans,Michigan
NA,12,5,8,151,Tyler Allgeier,Falcons,Brigham Young
NA,13,5,11,154,Snoop Conner,Jaguars,Mississippi
NA,14,5,13,156,Jerome Ford,Browns,Cincinnati
NA,15,5,21,164,Kyren Williams,Rams,Notre Dame
NA,16,5,26,169,Ty Chandler,Vikings,North Carolina
NA,17,6,4,183,Kevin Harris,Patriots,South Carolina
NA,18,6,17,196,Tyler Badie,Ravens,Missouri
NA,19,6,22,201,Keaontay Ingram,Cardinals,USC
NA,20,6,24,203,Trestan Ebner,Bears,Baylor
NA,21,6,29,208,Connor Heyward,Steelers,Michigan State
NA,22,7,29,250,Brittain Brown,Raiders,UCLA
NA,23,7,30,251,Isaih Pacheco,Chiefs,Rutgers
NA,24,7,39,260,Zander Horvath,Chargers,Purdue
2021,1,1,24,24,Najee Harris,Steelers,Alabama
NA,2,1,25,25,Travis Etienne,Jaguars,Clemson
NA,3,2,3,35,Javonte Williams,Broncos,North Carolina
NA,4,3,24,88,Trey Sermon,49ers,Ohio State
NA,5,4,2,107,Michael Carter,Jets,North Carolina
NA,6,4,14,119,Kene Nwangwu,Vikings,Iowa State
NA,7,4,15,120,Rhamondre Stevenson,Patriots,Oklahoma
NA,8,4,21,126,Chuba Hubbard,Panthers,Oklahoma State
NA,9,5,6,150,Kenneth Gainwell,Eagles,Memphis
NA,10,5,40,184,Ben Mason,Ravens,Michigan
NA,11,6,10,194,Elijah Mitchell,49ers,Louisiana-Lafayette
NA,12,6,12,196,Gary Brightwell,Giants,Arizona
NA,13,6,14,198,Larry Rountree,Chargers,Missouri
NA,14,6,18,202,Chris Evans,Bengals,Michigan
NA,15,6,27,211,Demetric Felton,Browns,UCLA
NA,16,6,33,217,Khalil Herbert,Bears,Virginia Tech
NA,17,7,5,233,Jake Funk,Rams,Maryland
NA,18,7,17,244,Gerrid Doaks,Dolphins,Cincinnati
NA,19,7,29,256,Kylin Hill,Packers,Mississippi State
NA,20,7,30,257,Jermar Jefferson,Lions,Oregon State
2020,1,1,32,32,Clyde Edwards-Helaire,Chiefs,Louisiana State
NA,2,2,3,35,D'Andre Swift,Lions,Georgia
NA,3,2,9,41,Jonathan Taylor,Colts,Wisconsin
NA,4,2,20,52,Cam Akers,Rams,Florida State
NA,5,2,23,55,J.K. Dobbins,Ravens,Ohio State
NA,6,2,30,62,AJ Dillon,Packers,Boston College
NA,7,3,12,76,Ke'Shawn Vaughn,Buccaneers,Vanderbilt
NA,8,3,22,86,Zack Moss,Bills,Utah
NA,9,3,29,93,Darrynton Evans,Titans,Appalachian State
NA,10,4,6,112,Joshua Kelley,Chargers,UCLA
NA,11,4,14,120,Lamical Perine,Jets,Florida
NA,12,4,18,124,Anthony McFarland,Steelers,Maryland
NA,13,4,38,144,DeeJay Dallas,Seahawks,Miami (FL)
NA,14,5,26,172,Jason Huntley,Lions,New Mexico State
NA,15,7,8,222,Eno Benjamin,Cardinals,Arizona State
NA,16,7,31,245,Raymond Calais,Buccaneers,Louisiana-Lafayette
2019,1,1,24,24,Josh Jacobs,Raiders,Alabama
NA,2,2,21,53,Miles Sanders,Eagles,Penn State
NA,3,3,6,70,Darrell Henderson,Rams,Memphis
NA,4,3,9,73,David Montgomery,Bears,Iowa State
NA,5,3,10,74,Devin Singletary,Bills,Florida Atlantic
NA,6,3,23,87,Damien Harris,Patriots,Alabama
NA,7,3,38,102,Alexander Mattison,Vikings,Boise State
NA,8,4,10,112,Bryce Love,Redskins,Stanford
NA,9,4,11,113,Justice Hill,Ravens,Oklahoma State
NA,10,4,20,122,Benny Snell,Steelers,Kentucky
NA,11,4,26,128,Tony Pollard,Cowboys,Memphis
NA,12,5,2,140,Ryquell Armstead,Jaguars,Temple
NA,13,5,14,152,Qadree Ollison,Falcons,Pittsburgh
NA,14,5,16,154,Jordan Scarlett,Panthers,Florida
NA,15,6,9,182,Trayveon Williams,Bengals,Texas A&M
NA,16,6,13,186,Ty Johnson,Lions,Maryland
NA,17,6,21,194,Dexter Williams,Packers,Notre Dame
NA,18,6,31,204,Travis Homer,Seahawks,Miami (FL)
NA,19,6,38,211,Rodney Anderson,Bengals,Oklahoma
NA,20,6,41,214,Darwin Thompson,Chiefs,Utah State
NA,21,7,4,218,Mike Weber,Cowboys,Ohio State
NA,22,7,6,220,Cullen Gillaspia,Texans,Texas A&M
NA,23,7,8,222,Kerrith Whyte,Bears,Florida Atlantic
NA,24,7,19,233,Chandler Cox,Dolphins,Auburn
NA,25,7,20,234,Myles Gaskin,Dolphins,Washington
2018,1,1,2,2,Saquon Barkley,Giants,Penn State
NA,2,1,27,27,Rashaad Penny,Seahawks,San Diego State
NA,3,1,31,31,Sony Michel,Patriots,Georgia
NA,4,2,3,35,Nick Chubb,Browns,Georgia
NA,5,2,6,38,Ronald Jones,Buccaneers,USC
NA,6,2,11,43,Kerryon Johnson,Lions,Auburn
NA,7,2,27,59,Derrius Guice,Redskins,Louisiana State
NA,8,3,7,71,Royce Freeman,Broncos,Oregon
NA,9,4,4,104,Nyheim Hines,Colts,North Carolina State
NA,10,4,12,112,Mark Walton,Bengals,Miami (FL)
NA,11,4,26,126,Ito Smith,Falcons,Southern Mississippi
NA,12,4,31,131,Kalen Ballage,Dolphins,Arizona State
NA,13,4,34,134,Chase Edmonds,Cardinals,Fordham
NA,14,5,32,169,Jordan Wilkins,Colts,Mississippi
NA,15,6,2,176,John Kelly,Rams,Tennessee
NA,16,6,27,201,Boston Scott,Saints,Louisiana Tech
NA,17,6,30,204,Trenton Cannon,Jets,Virginia State
NA,18,7,8,226,David Williams,Broncos,Arkansas
NA,19,7,18,236,Bo Scarbrough,Cowboys,Alabama
NA,20,7,19,237,Nick Bawdon,Lions,San Diego State
NA,21,7,33,251,Justin Jackson,Chargers,Northwestern
2017,1,1,4,4,Leonard Fournette,Jaguars,Louisiana State
NA,2,1,8,8,Christian McCaffrey,Panthers,Stanford
NA,3,2,9,41,Dalvin Cook,Vikings,Florida State
NA,4,2,16,48,Joe Mixon,Bengals,Oklahoma
NA,5,3,3,67,Alvin Kamara,Saints,Tennessee
NA,6,3,22,86,Kareem Hunt,Chiefs,Toledo
NA,7,3,25,89,D'Onta Foreman,Texans,Texas
NA,8,3,41,105,James Conner,Steelers,Pittsburgh
NA,9,4,7,114,Samaje Perine,Redskins,Oklahoma
NA,10,4,13,119,Tarik Cohen,Bears,North Carolina A&T
NA,11,4,15,121,Joe Williams,49ers,Utah
NA,12,4,26,132,Donnel Pumphrey,Eagles,San Diego State
NA,13,4,28,134,Jamaal Williams,Packers,Brigham Young
NA,14,4,34,140,Wayne Gallman,Giants,Clemson
NA,15,4,37,143,Marlon Mack,Colts,South Florida
NA,16,5,12,156,Brian Hill,Falcons,Wyoming
NA,17,5,18,162,Jeremy McNichols,Buccaneers,Boise State
NA,18,5,36,179,T.J. Logan,Cardinals,North Carolina
NA,19,5,39,182,Aaron Jones,Packers,Texas-El Paso
NA,20,6,4,188,Elijah McGuire,Jets,Louisiana-Lafayette
NA,21,6,8,192,Alex Armah,Panthers,West Georgia
NA,22,6,19,203,De'Angelo Henderson,Broncos,Coastal Carolina
NA,23,6,22,206,Sam Rogers,Rams,Virginia Tech
NA,24,6,23,207,Brandon Wilson,Bengals,Houston
NA,25,7,20,238,Devante Mays,Packers,Utah State
NA,26,7,22,240,Marquez Williams,Jaguars,Miami (OH)
NA,27,7,23,241,Khalfani Muhammad,Titans,California
NA,28,7,24,242,Elijah Hood,Raiders,North Carolina
NA,29,7,31,249,Chris Carson,Seahawks,Oklahoma State
NA,30,7,34,252,Matthew Dayes,Browns,North Carolina State
2016,1,1,4,4,Ezekiel Elliott,Cowboys,Ohio State
NA,2,2,14,45,Derrick Henry,Titans,Alabama
NA,3,3,10,73,Kenyan Drake,Dolphins,Alabama
NA,4,3,27,90,C.J. Prosise,Seahawks,Notre Dame
NA,5,4,21,119,Tyler Ervin,Texans,San Jose State
NA,6,4,36,134,Kenneth Dixon,Ravens,Louisiana Tech
NA,7,4,38,136,Devontae Booker,Broncos,Utah
NA,8,5,4,143,DeAndre Washington,Raiders,Texas Tech
NA,9,5,10,149,Paul Perkins,Giants,UCLA
NA,10,5,11,150,Jordan Howard,Bears,Indiana
NA,11,5,14,153,Wendell Smallwood,Eagles,West Virginia
NA,12,5,18,156,Jonathan Williams,Bills,Arkansas
NA,13,5,34,171,Alex Collins,Seahawks,Arkansas
NA,14,6,1,176,Andy Janovich,Broncos,Nebraska
NA,15,6,7,182,Keenan Reynolds,Ravens,Navy
NA,16,6,22,197,Dan Vitale,Buccaneers,Northwestern
NA,17,6,23,198,Derek Watt,Chargers,Wisconsin
NA,18,6,36,211,Kelvin Taylor,49ers,Florida
NA,19,6,41,216,Darius Jackson,Cowboys,Eastern Michigan
NA,20,7,15,236,Dwayne Washington,Lions,Washington
NA,21,7,16,237,Daniel Lasco,Saints,California
NA,22,7,21,242,Keith Marshall,Redskins,Georgia
NA,23,7,26,247,Zac Brooks,Seahawks,Clemson
2015,1,1,10,10,Todd Gurley,Rams,Georgia
NA,2,1,15,15,Melvin Gordon,Chargers,Wisconsin
NA,3,2,4,36,T.J. Yeldon,Jaguars,Alabama
NA,4,2,22,54,Ameer Abdullah,Lions,Nebraska
NA,5,3,9,73,Tevin Coleman,Falcons,Indiana
NA,6,3,13,77,Duke Johnson,Browns,Miami (FL)
NA,7,3,22,86,David Johnson,Cardinals,Northern Iowa
NA,8,3,31,95,Matt Jones,Redskins,Florida
NA,9,4,7,106,Jeremy Langford,Bears,Michigan State
NA,10,4,9,108,Jalston Fowler,Titans,Alabama
NA,11,4,26,125,Javorius Allen,Ravens,USC
NA,12,4,27,126,Mike Davis,49ers,South Carolina
NA,13,5,2,138,David Cobb,Titans,Minnesota
NA,14,5,13,149,Jay Ajayi,Dolphins,Boise State
NA,15,5,19,155,Karlos Williams,Bills,Florida State
NA,16,5,32,168,Michael Burton,Lions,Rutgers
NA,17,5,38,174,Cameron Artis-Payne,Panthers,Auburn
NA,18,6,29,205,Josh Robinson,Colts,Mississippi State
NA,19,6,30,206,Aaron Ripkowski,Packers,Oklahoma
NA,20,7,13,230,Marcus Murphy,Saints,Missouri
NA,21,7,14,231,Joey Iosefa,Buccaneers,Hawaii
NA,22,7,18,235,Kenny Hilliard,Texans,Louisiana State
2014,1,2,22,54,Bishop Sankey,Titans,Washington
NA,2,2,23,55,Jeremy Hill,Bengals,Louisiana State
NA,3,2,25,57,Carlos Hyde,49ers,Ohio State
NA,4,3,5,69,Charles Sims,Buccaneers,West Virginia
NA,5,3,11,75,Tre Mason,Rams,Auburn
NA,6,3,30,94,Terrance West,Browns,Towson
NA,7,3,32,96,Jerick McKinnon,Vikings,Georgia Southern
NA,8,3,33,97,Dri Archer,Steelers,Kent State
NA,9,4,3,103,Devonta Freeman,Falcons,Florida State
NA,10,4,13,113,Andre Williams,Giants,Boston College
NA,11,4,17,117,Ka'Deem Carey,Bears,Arizona
NA,12,4,24,124,De'Anthony Thomas,Chiefs,Oregon
NA,13,4,30,130,James White,Patriots,Wisconsin
NA,14,4,38,138,Lorenzo Taliaferro,Ravens,Coastal Carolina
NA,15,6,5,181,Alfred Blue,Texans,Louisiana State
NA,16,6,10,186,Lache Seastrunk,Redskins,Baylor
NA,17,6,25,201,Marion Grice,Chargers,Arizona State
NA,18,6,28,204,Tyler Gaffney,Panthers,Stanford
NA,19,6,35,211,Jay  Prosch,Texans,Auburn
NA,20,7,7,222,Storm Johnson,Jaguars,Central Florida
NA,21,7,12,227,Kiero Small,Seahawks,Arkansas
NA,22,7,30,245,Trey Millard,49ers,Oklahoma
2013,1,2,5,37,Giovani Bernard,Bengals,North Carolina
NA,2,2,16,48,Le'Veon Bell,Steelers,Michigan State
NA,3,2,26,58,Montee Ball,Broncos,Wisconsin
NA,4,2,29,61,Eddie Lacy,Packers,Alabama
NA,5,2,30,62,Christine Michael,Seahawks,Texas A&M
NA,6,3,34,96,Knile Davis,Chiefs,Arkansas
NA,7,4,28,125,Johnathan Franklin,Packers,UCLA
NA,8,4,33,130,Kyle Juszczyk,Ravens,Harvard
NA,9,4,34,131,Marcus Lattimore,49ers,South Carolina
NA,10,5,7,140,Stepfan Taylor,Cardinals,Stanford
NA,11,5,18,151,Joseph Randle,Cowboys,Oklahoma State
NA,12,5,21,154,Chris Thompson,Redskins,Florida State
NA,13,5,27,160,Zac Stacy,Rams,Vanderbilt
NA,14,5,31,164,Mike Gillislee,Dolphins,Florida
NA,15,6,13,181,Latavius Murray,Raiders,Central Florida
NA,16,6,14,182,Kenjon Barner,Panthers,Oregon
NA,17,6,19,187,Andre Ellington,Cardinals,Clemson
NA,18,6,21,189,Mike James,Buccaneers,Miami (FL)
NA,19,6,22,190,Rex Burkhead,Bengals,Nebraska
NA,20,6,26,194,Spencer Ware,Seahawks,Louisiana State
NA,21,6,31,199,Theo Riddick,Lions,Notre Dame
NA,22,6,36,204,Braden Wilson,Chiefs,Kansas State
NA,23,7,9,215,Tommy Bohanon,Jets,Wake Forest
NA,24,7,22,228,Jawan Jamison,Redskins,Rutgers
NA,25,7,24,230,Kerwynn Williams,Colts,Utah State
NA,26,7,47,253,Michael Cox,Giants,Massachusetts
2012,1,1,3,3,Trent Richardson,Browns,Alabama
NA,2,1,31,31,Doug Martin,Buccaneers,Boise State
NA,3,1,32,32,David Wilson,Giants,Virginia Tech
NA,4,2,18,50,Isaiah Pead,Rams,Cincinnati
NA,5,2,29,61,LaMichael James,49ers,Oregon
NA,6,3,4,67,Ronnie Hillman,Broncos,San Diego State
NA,7,3,21,84,Bernard Pierce,Ravens,Temple
NA,8,4,2,97,Lamar Miller,Dolphins,Miami (FL)
NA,9,4,11,106,Robert Turbin,Seahawks,Utah State
NA,10,4,33,128,Rhett Ellison,Vikings,USC
NA,11,5,22,157,Bradie Ewing,Falcons,Wisconsin
NA,12,5,24,159,Chris Rainey,Steelers,Florida
NA,13,5,35,170,Vick Ballard,Colts,Mississippi State
NA,14,6,3,173,Alfred Morris,Redskins,Florida Atlantic
NA,15,6,12,182,Cyrus Gray,Chiefs,Texas A&M
NA,16,6,21,191,Dan Herron,Bengals,Ohio State
NA,17,6,32,202,Terrance Ganaway,Jets,Baylor
NA,18,7,5,212,Michael Smith,Buccaneers,Utah State
NA,19,7,22,229,Bryce Brown,Eagles,Kansas State
NA,20,7,43,250,Edwin Baker,Chargers,Michigan State
NA,21,7,45,252,Daryl Richardson,Rams,Abilene Christian
2011,1,1,28,28,Mark Ingram,Saints,Alabama
NA,2,2,6,38,Ryan Williams,Cardinals,Virginia Tech
NA,3,2,24,56,Shane Vereen,Patriots,California
NA,4,2,25,57,Mikel Leshoure,Lions,Illinois
NA,5,2,30,62,Daniel Thomas,Dolphins,Kansas State
NA,6,3,7,71,Demarco Murray,Cowboys,Oklahoma
NA,7,3,9,73,Stevan Ridley,Patriots,Louisiana State
NA,8,3,32,96,Alex Green,Packers,Hawaii
NA,9,4,8,105,Roy Helu,Redskins,Nebraska
NA,10,4,18,115,Kendall Hunter,49ers,Oklahoma State
NA,11,4,22,119,Delone Carter,Colts,Syracuse
NA,12,4,27,124,Owen Marecic,Browns,Stanford
NA,13,4,28,125,Taiwan Jones,Raiders,Eastern Washington
NA,14,4,29,126,Bilal Powell,Jets,Louisville
NA,15,4,33,130,Jamie Harper,Titans,Clemson
NA,16,5,2,133,Johnny White,Bills,North Carolina
NA,17,5,5,136,Anthony Sherman,Cardinals,Connecticut
NA,18,5,14,145,Jacquizz Rodgers,Falcons,Oregon State
NA,19,5,18,149,Dion Lewis,Eagles,Pittsburgh
NA,20,6,12,177,Evan Royster,Redskins,Penn State
NA,21,6,18,183,Jordan Todman,Chargers,Connecticut
NA,22,6,22,187,Allen Bradford,Buccaneers,USC
NA,23,7,17,220,Shaun Chapas,Cowboys,Georgia
NA,24,7,18,221,Da'Rel Scott,Giants,Maryland
NA,25,7,20,223,Shane Bannon,Chiefs,Yale
NA,26,7,22,225,Anthony Allen,Ravens,Georgia Tech
NA,27,7,29,232,Baron Batch,Steelers,Texas Tech
NA,28,7,37,240,Stanley Havili,Eagles,USC
NA,29,7,43,246,Jay Finlay,Bengals,Baylor
NA,1,7,0,0,Harvey Unga,Bears,Brigham Young
2010,1,1,9,9,C.J. Spiller,Bills,Clemson
NA,2,1,12,12,Ryan Mathews,Chargers,Fresno State
NA,3,1,30,30,Jahvid Best,Lions,California
NA,4,2,4,36,Dexter McCluster,Chiefs,Mississippi
NA,5,2,19,51,Toby Gerhart,Vikings,Stanford
NA,6,2,26,58,Ben Tate,Texans,Auburn
NA,7,2,27,59,Montario Hardesty,Browns,Tennessee
NA,8,4,14,112,Joe McKnight,Jets,USC
NA,9,5,8,139,John Conner,Jets,Kentucky
NA,10,6,4,173,Anthony Dixon,49ers,Mississippi State
NA,11,6,11,180,Deji Karim,Jaguars,Southern Illinois
NA,12,6,19,188,Jonathan Dwyer,Steelers,Georgia Tech
NA,13,6,24,193,James Stark,Packers,Buffalo
NA,14,6,28,197,Trindon Holliday,Texans,Louisiana State
NA,15,6,31,200,Charles Scott,Eagles,Louisiana State
NA,16,7,38,245,Jameson Konz,Seahawks,Kent State
2009,1,1,12,12,Knowshon Moreno,Broncos,Georgia
NA,2,1,27,27,Donald Brown,Colts,Connecticut
NA,3,1,31,31,Beanie Wells,Cardinals,Ohio State
NA,4,2,21,53,LeSean McCoy,Eagles,Pittsburgh
NA,5,3,1,65,Shonn Greene,Jets,Iowa
NA,6,3,10,74,Glen Coffee,49ers,Alabama
NA,7,4,11,111,Mike Goodson,Panthers,Texas A&M
NA,8,4,28,128,Tony Fiammetta,Panthers,Syracuse
NA,9,4,29,129,Andre Brown,Giants,North Carolina State
NA,10,4,34,134,Gartrell Johnson,Chargers,Colorado State
NA,11,5,9,145,Quinn Johnson,Packers,Louisiana State
NA,12,5,33,169,Frank Summers,Steelers,UNLV
NA,13,5,37,173,Javon Ringer,Titans,Michigan State
NA,14,6,12,185,Cedric Peerman,Ravens,Virginia
NA,15,6,19,192,Aaron Brown,Lions,Texas Christian
NA,16,6,22,195,James Davis,Browns,Clemson
NA,17,6,36,209,Bernard Scott,Bengals,Abilene Christian
NA,18,7,2,211,Chris Ogbonnaya,Rams,Texas
NA,19,7,3,212,Javarris Williams,Chiefs,Tennessee State
NA,20,7,6,215,Fui Vakapuna,Bengals,Brigham Young
NA,21,7,31,240,LaRod Stephens-Howling,Cardinals,Pittsburgh
NA,22,7,41,250,Rashad Jennings,Jaguars,Liberty
2008,1,1,4,4,Darren McFadden,Raiders,Arkansas
NA,2,1,13,13,Jonathan Stewart,Panthers,Oregon
NA,3,1,22,22,Felix Jones,Cowboys,Arkansas
NA,4,1,23,23,Rashard Mendenhall,Steelers,Illinois
NA,5,1,24,24,Chris Johnson,Titans,East Carolina
NA,6,2,13,44,Matt Forte,Bears,Tulane
NA,7,2,24,55,Ray Rice,Ravens,Rutgers
NA,8,3,1,64,Kevin Smith,Lions,Central Florida
NA,9,3,6,69,Jacob Hester,Chargers,Louisiana State
NA,10,3,10,73,Jamaal Charles,Chiefs,Texas
NA,11,3,26,89,Steve Slaton,Texans,West Virginia
NA,12,4,23,122,Tashard Choice,Cowboys,Georgia Tech
NA,13,5,4,139,Ryan Torain,Broncos,Arizona State
NA,14,5,11,146,Jerome Felton,Lions,Furman
NA,15,5,14,149,Timothy Hightower,Cardinals,Richmond
NA,16,5,28,163,Owen Schmitt,Seahawks,West Virginia
NA,17,5,31,166,Marcus Thomas,Chargers,Texas-El Paso
NA,18,6,6,172,Thomas Brown,Falcons,Georgia
NA,19,6,10,176,Jalen Parmele,Dolphins,Toledo
NA,20,6,13,179,Xavier Omon,Bills,Northwest Missouri State
NA,21,6,36,202,Mike Hart,Colts,Michigan
NA,22,6,38,204,Lex Hilliard,Dolphins,Montana
NA,23,7,6,213,Chauncey Washington,Jaguars,USC
NA,24,7,20,227,Peyton Hillis,Broncos,Arkansas
NA,25,7,26,233,Justin Forsett,Seahawks,California
NA,26,7,31,238,Cory Boyd,Buccaneers,South Carolina
NA,27,7,33,240,Allen Patrick,Ravens,Oklahoma
2007,1,1,7,7,Adrian Peterson,Vikings,Oklahoma
NA,2,1,12,12,Marshawn Lynch,Bills,California
NA,3,2,17,49,Kenny Irons,Bengals,Auburn
NA,4,2,18,50,Chris Henry,Titans,Arizona
NA,5,2,20,52,Brian Leonard,Rams,Rutgers
NA,6,2,31,63,Brandon Jackson,Packers,Nebraska
NA,7,3,7,71,Lorenzo Booker,Dolphins,Florida State
NA,8,3,27,90,Tony Hunt,Eagles,Penn State
NA,9,3,30,93,Garrett Wolfe,Bears,Northern Illinois
NA,10,4,1,100,Michael Bush,Raiders,Louisville
NA,11,4,8,107,Antonio Pittman,Saints,Ohio State
NA,12,4,12,111,Dwayne Wright,Bills,Fresno State
NA,13,4,38,137,Le'Ron McClain,Ravens,Alabama
NA,14,5,11,148,Kolby Smith,Chiefs,Louisville
NA,15,6,1,175,Oren O'Neal,Raiders,Arkansas State
NA,16,6,7,181,Reagan Maui'a,Dolphins,Hawaii
NA,17,6,12,186,Thomas Clayton,49ers,Kansas State
NA,18,6,21,195,Deon Anderson,Cowboys,Connecticut
NA,19,6,34,208,Justise Hairston,Patriots,Central Connecticut St.
NA,20,7,12,222,Derek Schouman,Bills,Boise State
NA,21,7,18,228,DeShawn Wynn,Packers,Florida
NA,22,7,26,236,Nate Ilaoa,Eagles,Hawaii
NA,23,7,34,244,Jason Snelling,Falcons,Virginia
NA,24,7,36,246,Kenneth Darby,Buccaneers,Alabama
NA,25,7,40,250,Ahmad Bradshaw,Giants,Marshall
2006,1,1,2,2,Reggie Bush,Saints,USC
NA,2,1,21,21,Laurence Maroney,Patriots,Minnesota
NA,3,1,27,27,DeAngelo Williams,Panthers,Memphis
NA,4,1,30,30,Joseph Addai,Colts,Louisiana State
NA,5,2,13,45,LenDale White,Titans,USC
NA,6,2,28,60,Maurice Jones-Drew,Jaguars,UCLA
NA,7,3,10,74,Brian Calhoun,Lions,Wisconsin
NA,8,3,15,79,Jerious Norwood,Falcons,Mississippi State
NA,9,4,3,100,Michael Robinson,49ers,Penn State
NA,10,4,20,117,Leon Washington,Jets,Florida State
NA,11,4,35,132,P.J. Daniels,Ravens,Georgia Tech
NA,12,5,12,145,Jerome Harrison,Browns,Washington State
NA,13,5,31,163,David Kirtman,Seahawks,USC
NA,14,6,1,170,Wali Lundy,Texans,Virginia
NA,15,6,11,180,Lawrence Vickers,Browns,Colorado
NA,16,6,26,195,J.D. Runnels,Bears,Oklahoma
NA,17,7,32,240,Cedric Humes,Steelers,Virginia Tech
NA,18,7,38,246,Quinton Ganther,Titans,Utah
2005,1,1,2,2,Ronnie Brown,Dolphins,Auburn
NA,2,1,4,4,Cedric Benson,Bears,Texas
NA,3,1,5,5,Cadillac Williams,Buccaneers,Auburn
NA,4,2,12,44,J.J. Arrington,Cardinals,California
NA,5,2,22,54,Eric Shelton,Panthers,Louisville
NA,6,3,1,65,Frank Gore,49ers,Miami (FL)
NA,7,3,9,73,Vernand Morency,Texans,Oklahoma State
NA,8,3,13,77,Ryan Moats,Eagles,Louisiana Tech
NA,9,3,37,101,Maurice Clarett,Broncos,Ohio State
NA,10,4,8,109,Marion Barber,Cowboys,Minnesota
NA,11,4,9,110,Brandon Jacobs,Giants,Southern Illinois
NA,12,4,11,112,Ciatrick Fason,Vikings,Florida
NA,13,4,19,120,Manuel White,Redskins,UCLA
NA,14,4,26,127,Alvin Pearman,Jaguars,Virginia
NA,15,4,29,130,Darren Sproles,Chargers,Kansas State
NA,16,5,6,142,Damien Nash,Titans,Missouri
NA,17,5,22,158,Justin Green,Ravens,Montana
NA,18,6,8,182,Cedric Houston,Jets,Tennessee
NA,19,6,27,201,Deandra Cobb,Falcons,Michigan State
NA,20,7,7,221,Rick Razzano,Buccaneers,Mississippi
NA,21,7,8,222,Nehemiah Broughton,Redskins,Citadel
NA,22,7,22,236,Lionel Gates,Bills,Louisville
NA,23,7,29,243,Anthony Davis,Colts,Wisconsin
NA,24,7,30,244,Noah Herron,Steelers,Northwestern
NA,25,7,37,251,Madison Hedgecock,Rams,North Carolina
2004,1,1,24,24,Steven Jackson,Rams,Oregon State
NA,2,1,26,26,Chris Perry,Bengals,Michigan
NA,3,1,30,30,Kevin Jones,Lions,Virginia Tech
NA,4,2,9,41,Tatum Bell,Broncos,Oklahoma State
NA,5,2,11,43,Julius Jones,Cowboys,Notre Dame
NA,6,2,23,55,Greg Jones,Jaguars,Florida State
NA,7,4,23,119,Mewelde Moore,Vikings,Tulane
NA,8,4,32,128,Cedric Cobbs,Patriots,Arkansas
NA,9,5,22,154,Michael Turner,Chargers,Northern Illinois
NA,10,5,24,156,Mike Karney,Saints,Arizona State
NA,11,5,30,162,Thomas Tapeh,Eagles,Minnesota
NA,12,6,26,191,Troy Fleming,Titans,Tennessee
NA,13,7,7,208,Adimchinobe Echemandu,Browns,California
NA,14,7,13,214,Jonathan Smith,Bills,Georgia Tech
NA,15,7,18,219,Quincy Wilson,Falcons,West Virginia
NA,16,7,27,228,Casey Cramer,Buccaneers,Dartmouth
NA,17,7,34,235,Derrick Ward,Jets,Ottawa (KS)
NA,18,7,40,241,Sean McHugh,Titans,Penn State
NA,19,7,41,242,Bruce Perry,Eagles,Maryland
NA,20,7,46,247,Brandon Miree,Broncos,Pittsburgh
NA,1,2,0,0,Tony Hollings,Texans,Georgia Tech
2003,1,1,23,23,Willis McGahee,Bills,Miami (FL)
NA,2,1,27,27,Larry Johnson,Chiefs,Penn State
NA,3,3,13,77,Musa Smith,Ravens,Georgia
NA,4,3,21,85,B.J. Askew,Jets,Michigan
NA,5,3,29,93,Chris Brown,Titans,Colorado
NA,6,3,32,96,Justin Fargas,Raiders,USC
NA,7,4,2,99,Artose Pinner,Lions,Kentucky
NA,8,4,4,101,Domanick Davis,Texans,Louisiana State
NA,9,4,8,105,Onterrio Smith,Vikings,Oregon
NA,10,4,11,108,Quentin Griffin,Broncos,Oklahoma
